H2,CO,CO2,Methane,Acetylene,Ethylene,Ethane,Furan,Water,Acid,BDV,DDF1,DDF2,Color,IFT,HI
20.9,594.5,7441.9,0,0.6,4.2,3.8,2.04,6,0.056,76,0.039,0.003,3,18,50
16.1,212.1,4043.2,2.8,0,1.2,1.9,0.68,4,0.026,82,0.016,0.002,2,26,82.14285714
15.4,333.6,3552,1.2,0,3.8,1.7,0.8,9,0.025,63,0.032,0.003,2,24,75
13.7,579.4,5830.1,1.3,0,3.6,3.6,3.66,1,0.111,92,0.08,0.003,3,17,50
15.1,689.2,5829,0,0,3.2,2.9,4.18,11,0.116,95,0.07,0.002,3,17,50
9.8,344,4398.7,0.7,0,1.2,1.5,1.46,10,0.019,72,0.019,0.002,2,25,76.19047619
8.4,306.5,4289.4,0,0,1,1.3,1.55,9,0.019,75,0.021,0.002,2,27,76.19047619
50.2,855.3,4397.9,32.1,0,7.9,10.9,0.67,9,0.049,61,0.059,0.006,3,21,55.95238095
27.1,230.5,4810.7,236.8,27.7,628.1,202.1,2.18,4,0.029,82,0.041,0.002,2,18,21.42857143
18.7,165.8,5123.8,2.5,58.2,55,41.4,2.73,4,0.057,74,0.043,0.002,3,18,26.19047619
8.6,176.3,4653.6,2.9,17.3,97.7,53.1,2.31,2,0.06,73,0.043,0.002,3,16,26.19047619
6.5,152.9,4451.2,2.4,26.5,12.6,13.4,2.65,7,0.079,56,0.048,0.005,3,18,26.19047619
10.1,50.8,304.4,0,1.3,1.1,1,1.52,7,0.039,74,0.041,0.004,3.5,20,61.9047619
14.6,92.6,2575.2,0,14.8,9.2,8.4,2.32,22,0.055,76.9,0.036,0.004,3.5,19,50
35.5,1295.3,13114.9,9.8,0,4,4.1,3.46,24,0.179,18,0.078,0.002,3,16,30.95238095
13.9,451.6,5759.3,2.1,0,1.1,2.1,1.31,6,0.026,73,0.026,0.001,1,27,64.28571429
22.1,447.8,6581.4,5.9,0.5,2.6,2.2,4.24,12,0.048,90.2,0.024,0.002,2,25,64.28571429
63.8,722.3,5352.3,14.1,0,10.3,9.3,1.41,13,0.032,69,0.035,0.003,2,22,57.14285714
18.5,534,5813.4,2.8,0,1.5,2.6,1.87,6,0.022,70,0.028,0.002,2,26,64.28571429
190.1,956,10479.7,24.4,0,5.3,10.1,2.63,16,0.062,81,0.072,0.001,2,19,45.23809524
45.6,1184.4,11010.9,10.5,0,5.6,5.3,2.6,12,0.065,82,0.069,0.002,3,18,38.0952381
192.7,532.6,7586.7,13.8,0,3.8,7.1,3.45,9,0.076,68,0.058,0.006,3,18,38.0952381
19,656,7717.9,4.2,0,3.9,3.1,3.66,8,0.104,85,0.061,0.015,3,17,50
14.4,457.5,5739.1,1.4,0,2.4,1.9,2.17,4,0.034,68,0.037,0.004,1,22,64.28571429
61.2,849.8,8020.5,27.3,0,25.6,20.8,1.57,9,0.099,70,0.035,0.004,1,17,57.14285714
27.6,943.2,9579.1,4.8,0.5,3.9,3.2,3.68,17,0.146,96,0.059,0.002,3.5,15,50
31,1097.9,113883.3,6.9,0,3.9,3.4,4.02,13,0.117,77,0.073,0.001,3,16,38.0952381
2.9,22.5,252.4,0.7,1.2,0.3,0.6,0.07,6,0.005,66,0.005,0,1,41,100
12.2,89.9,1496.4,1.1,16,1.8,0.6,0.21,5,0.027,81,0.014,0.001,1,31,70.23809524
25.4,83.4,1590.3,5,35.5,5.6,1.8,0.31,3,0.021,86,0.013,0.001,0,32,52.38095238
24,264.3,4008.2,22.4,39.9,50.8,23,2.67,15,0.041,87,0.053,0.001,1,19,33.33333333
7.4,159.8,4300.6,0.5,10,5.3,3.2,3.56,9,0.087,90.6,0.033,0.002,2,18,57.14285714
14.6,262.1,2517.5,1.1,0,0.9,2.2,2.48,15,0.005,68,0.065,0.002,2,19,69.04761905
9.1,194.1,2321.9,1.4,0.3,1.3,2.6,3.45,7,0.053,63,0.069,0.003,3,17,61.9047619
12,314.7,3361.3,0,0,1.2,1.6,0.52,5,0.036,73,0.024,0.001,1,26,82.14285714
22.8,577.4,4380.7,3.3,0,4.9,3,1.52,11,0.14,88,0.105,0.002,3,16,50
13.9,569.4,5805.2,5.4,0,1.3,3.9,1.21,7,0.015,75,0.026,0.003,3,23,50
19.7,640.7,6201,1.9,0,1.8,3.6,1.06,1,0.063,65,0.02,0.001,3,22,50
6.5,288.5,10818.5,73.9,0,4.7,172.8,0.03,6,0.005,64,0.024,0,0,31,64.28571429
25,443.2,14846.7,71.6,0.2,5.6,124.6,0.04,6,0.011,84,0.039,0,0,31,64.28571429
32.4,318.9,8399.8,130.9,0,5.8,207.3,0.03,9,0.005,83.2,0.003,0,0,32,64.28571429
37.2,446.7,11374.9,107.8,0,6.1,147.3,0.03,12,0.012,81.1,0.004,0,0,31,64.28571429
58.1,485.1,6638.5,1.4,0,5.5,3.1,0.12,6,0.046,93,0.022,0.001,2,18,75
45.1,418.3,5255.6,2.6,0,4.5,2.6,0.25,8,0.063,68,0.017,0.001,2,19,69.04761905
20.6,248.6,4211.4,3.7,0,3.3,2.1,0.17,1,0.073,27,0.036,0.002,3,17,72.61904762
56.6,330.8,2796.2,26.8,0,3.2,48.9,0.52,9,0.005,43,0.038,0.001,0,37,75
29,309.3,3696.9,12.7,0,1.5,11.8,0,6,0.005,87.6,0.003,0,0,34,100
8.4,392.2,6845.1,8.3,0,5,1.8,1.12,1,0.085,85,0.089,0.005,3,17,50
11.3,420.8,7088.5,1.5,0,6.5,4.2,1.7,22,0.088,58,0.068,0.003,3,16,50
12.7,313.3,4232.9,1.3,0,3,1,1.47,7,0.121,79,0.082,0.008,2,16,61.9047619
42.5,176.5,789.6,4.7,0,1,2,0.17,3,0.005,68,0.003,0.001,0,37,94.04761905
1.9,127.2,3464.8,0,29.2,5.3,2.9,1.54,2,0.036,90,0.034,0.001,2,20,33.33333333
5.3,128,2965.4,0,17.9,3.9,2.1,1.53,5,0.016,57,0.039,0.002,2,21,45.23809524
12.2,199,4038.6,53.5,6.9,127.4,48,1.77,3,0.043,83,0.048,0.003,3,20,26.19047619
4.6,143.7,3593.6,0,3.9,1.6,1.4,1.78,6,0.077,75,0.041,0.002,3,19,61.9047619
33.8,122.5,4174.1,107.6,0,20,210.5,0.01,1,0.005,78,0.039,0.001,0,29,64.28571429
48,183.6,9428.6,82,0,5.9,185.8,0.02,4,0.005,79,0.029,0.001,0,30,64.28571429
33.8,207.6,8374.2,104,0,5.8,187.3,0.01,14,0.012,92.3,0.003,0,0,31,64.28571429
16.1,447.6,1070.1,12,0,4.8,2.1,0,1,0.005,37,0.002,0,0,32,92.85714286
19.2,597.8,2031,69.7,0,4.5,97.2,0,4,0.005,79,0.001,0,0,42,76.19047619
42.7,851.2,6853.5,66.2,0,17.1,24.2,1.4,14,0.04,76,0.035,0.002,2,21,57.14285714
23.8,218.6,3149.4,75.8,0,7.7,141.6,0.01,4,0.005,67,0.014,0.001,0,33,64.28571429
153.1,453.8,5155.4,32.9,0,13.6,97.9,0.06,8,0.023,74,0.021,0.003,1,22,76.19047619
28.6,241.8,3347.9,100.7,0,7.9,155.6,0,9,0.005,72,0.003,0,0,33,64.28571429
56.6,290.1,4217.5,47.8,0,16.7,124.8,0,5,0.005,88,0.086,0.001,0,34,64.28571429
90.7,318.8,4295.2,36.5,0,5.7,96.9,0.01,4,0.005,95,0.035,0,0,34,76.19047619
20.2,141.2,670.1,10.9,0,2.2,20.7,0.16,2,0.005,76,0.006,0,0,26,94.04761905
22.1,422.6,1183.9,15.3,0,5.7,13.7,0,5,0.005,88.4,0.003,0,0,38,100
14.6,510.5,1442.4,12.3,0,2,1.8,0,2,0.005,87.3,0.003,0,0,37,100
10.1,141.6,598.2,4.8,0,1.2,0,0.25,4,0.005,93,0.003,0,0,36,88.0952381
19.9,159.6,3557.8,6.4,52.9,23.1,5.6,1.68,4,0.059,73,0.051,0.003,3,19,26.19047619
63.6,233.5,1389.3,40.6,0,7.5,138,0,2,0.005,77,0.011,0.001,0,34,76.19047619
43,952,13080,19.2,0,15.9,28.9,1.23,12,0.102,87,0.084,0.003,3.5,17,50
36,849.1,13381.9,8.2,0,11.3,12,0.98,7,0.072,77,0.098,0.003,3.3,17,55.95238095
31.4,451,7007.7,4.5,0,3.9,4.3,1.06,4,0.045,82,0.041,0.002,2,23,57.14285714
21.8,1161.2,5204.9,17,0,2.1,3.1,0.34,5,0.005,82,0.004,0.001,0,36,76.19047619
5.3,791.7,8811.3,5.2,0,4.5,8.8,1.4,3,0.027,72,0.03,0.003,1,25,64.28571429
22.8,597.4,6057.9,6.4,0,3.4,6.2,1.32,12,0.013,76,0.031,0.003,2,26,64.28571429
15.6,345.1,1947.7,41.1,0,5.9,123.3,0,4,0.005,96.4,0.002,0,0,33,76.19047619
39.1,278,7232.1,188.9,0,92.8,228.7,0.01,8,0.005,94,0.005,0.001,0,30,64.28571429
42.2,254.4,6529.9,80.7,0,5.3,167.3,0.01,3,0.005,59,0.005,0.001,0,31,64.28571429
28.8,398.4,7944,269.1,0,83.8,265.3,0,20,0.005,67,0.005,0.001,0,30,64.28571429
31.7,251.8,4953.9,118.2,0,5.9,185.6,0,4,0.005,57,0.004,0,0,30,64.28571429
17.3,99.7,573.8,7.7,0,1.2,6.7,0,8,0.005,90.9,0.003,0,0,34,100
91.2,204.3,7938.7,82,0,4.9,173.1,0.01,6,0.005,89,0.013,0.001,0,32,64.28571429
58.2,172.2,7175.4,100.3,0,17,184.6,0.01,5,0.005,84,0.014,0.001,0,32,64.28571429
75.8,221.7,7754.6,100.9,0,5,185.9,0,10,0.005,88.9,0.004,0,0,32,64.28571429
42,187.1,7390.4,153.5,0,24.9,213.4,0,11,0.005,92.9,0.004,0,0,33,64.28571429
18.2,199.8,3479.8,0,2.7,2.9,1.7,0.56,3,0.028,52,0.016,0.002,1,26,82.14285714
15.6,373.4,2285.5,2.4,0,3.9,1.8,1.66,14,0.153,98,0.097,0.004,3,16,61.9047619
22.6,615.4,5450.9,1.4,0,5.4,3.3,1.59,8,0.183,75,0.084,0.002,3,16,50
61.9,353.5,2694,55.5,0.5,7.2,119.2,0,6,0.005,66,0.003,0,0,34,76.19047619
8.9,590.4,8232.4,5.1,2.7,2.9,3.3,1.27,24,0.019,36,0.024,0.002,1,26,57.14285714
13.4,645.7,8366.4,0.4,3.6,2.9,4.4,1.15,15,0.019,57,0.021,0.001,1,28,64.28571429
58.8,858.3,8687.1,30.3,0,18.3,15.9,1.78,19,0.02,59,0.027,0.002,2,21,57.14285714
101.8,1012.3,7000.7,98,0,31.3,48.4,1.76,21,0.027,68,0.057,0.002,2,21,57.14285714
39.4,181.1,11346.8,76.1,0.7,5.1,200.1,0.17,1,0.005,75,0.034,0,0,31,58.33333333
44.6,135.7,11764.9,64.4,0.7,4.4,164.1,0.05,2,0.005,65,0.024,0,0,32,64.28571429
52.6,174.7,8806.8,99.1,0,4.9,190.7,0,9,0.014,60,0.003,0,0,32,64.28571429
52.8,151.9,9183.5,78.6,0,4.7,168.9,0,10,0.014,70,0.003,0,0,33,64.28571429
14.4,591.6,6367.8,1.8,0,2,3.3,1.7,9,0.005,89,0.049,0.002,3,20,50
18.7,676.7,6701.8,3.3,0,8.7,4.9,1.63,5,0.052,65,0.025,0.001,3,24,50
605,394.9,4786.2,0,0,0.8,1.3,1.07,4,0.026,77,0.009,0,1,32,52.38095238
27.8,695.7,7028.9,0,0,2.6,2.8,1.29,15,0.019,55,0.03,0.002,2,26,64.28571429
93.8,1023.7,7981.2,46.5,0,22.4,23.9,0.61,21,0.032,74,0.039,0.002,2,21,63.0952381
30.2,669,6976.7,28.1,0,6.7,16.7,1.44,24,0.043,40,0.049,0.001,2,15,50
32.4,696.3,7062,2.4,0,6.6,6.9,1.64,20,0.035,45,0.044,0.001,2,22,57.14285714
18,504.3,6073.9,0,0,4.9,4.1,1.72,5,0.043,65,0.035,0.002,1,21,64.28571429
25.7,598.2,6383.9,4.1,0,5.3,4.8,1.88,6,0.083,85,0.032,0.001,2,23,57.14285714
42.7,876.2,8179.1,0,0,4.4,4.2,0.045454545,14,0.074,96,0.078,0.001,2,18,80.95238095
64.8,1236.6,11553.8,20,0,11.8,8.9,1.63,14,0.186,80,0.061,0.002,3,16,38.0952381
8.9,295.5,3783.8,3.3,0,0.6,1.5,0.53,2,0.026,65,0.015,0.007,1,29,82.14285714
47.4,292,5021.8,1.5,0,7,169,0.05,8,0.005,88,0.007,0,0,33,64.28571429
43.9,174.9,3504,58.3,0,4.2,117.1,0.01,3,0.005,83,0.004,0,0,32,64.28571429
36.7,292.6,3797.9,97.4,0,7.4,161.6,0,7,0.005,59,0.003,0,0,33,64.28571429
36,191.4,3153.2,74.8,0,9.8,136.4,0,7,0.005,57,0.003,0,0,32,64.28571429
48.7,259.9,5970.6,60.5,0,4.3,119.3,0.01,11,0.005,82,0.007,0.002,0,31,64.28571429
34.6,333,5948.8,76.2,0,4.4,129.7,0,13,0.005,96.5,0.003,0,0,31,64.28571429
54,214.8,6413.8,60.6,0,4,103,0,21,0.005,87.6,0.002,0,0,33,64.28571429
13.4,324.3,5208.7,3.4,1,2.7,3.4,1.38,3,0.068,39,0.041,0.001,3,18,50
10.6,258.8,3065.8,0,0,0.8,1.3,0.33,1,0.029,73,0.015,0.001,1,28,88.0952381
30,243.4,2797.4,52.1,0,4.6,113.1,0,3,0.005,68,0.003,0,0,36,64.28571429
36,388.9,3210.9,60.4,0,7.9,121.2,0,4,0.005,63.3,0.003,0,0,35,64.28571429
25.7,423,1475.2,52,0,6.5,90.5,0.01,7,0.005,67,0.007,0,0,34,100
23.3,332.1,2891.8,70.5,0,9.6,143.7,0.01,5,0.005,82,0.014,0.001,0,32,64.28571429
21.8,388.9,4404.8,76.8,0,7.4,125,0,5,0.013,90.3,0.006,0.001,0,33,64.28571429
21.4,334.6,2991.7,95.9,0,10.8,198.3,0,5,0.005,82.2,0.007,0.001,0,32,64.28571429
42,772.4,2370,11.1,0,3.1,1.5,0.02,8,0.005,93.1,0.003,0,0,32,100
27.6,397.3,2667.9,65.4,1,9.9,114.8,0,1,0.018,79,0.011,0.001,0,31,76.19047619
19,481,2554,6.6,0,1.3,3.9,0.1,6,0.005,58,0.005,0.001,0,33,94.04761905
10.6,440.2,2449.7,8.1,0,1.2,2.7,0.11,2,0.005,70,0.009,0.001,0,33,94.04761905
27.4,611.6,6799.3,0,10.3,19.8,8.8,0.85,7,0.036,90,0.047,0.002,3,19,44.04761905
32.2,537.7,5368.3,0,4.9,7.5,5.2,0.83,7,0.052,63,0.047,0.003,3,19,55.95238095
17.3,481.7,2586.4,8.5,0,1,1.9,0.34,6,0.005,72,0.006,0,0,34,88.0952381
