H2,CO,CO2,Methane,Acetylene,Ethylene,Ethane,Furan,Water,Acid,BDV,DDF1,DDF2,Color,IFT,HI
14.6,863.5,2263.8,10.3,0,1.8,3.4,0,2,0.005,57,0.003,0,0,30,100
9.6,190.4,1850.7,2.4,0,0.8,2,0.09,1,0.005,72,0.01,0,1,32,100
12.5,263.2,2171.2,3.5,0,1.3,2.2,0.13,4,0.005,55,0.014,0.001,1,30,94.04761905
17.8,286.6,2712.9,2.3,0,0.6,1.3,0.23,1,0.005,62,0.014,0.001,1,29,94.04761905
23.8,410,3337.9,3.6,0,1.4,1.5,0.35,1,0.085,72,0.021,0.001,1,26,88.0952381
42.5,921,2420.2,11.9,3.5,1.5,1.6,0.01,1,0.005,65,0.004,0.001,0,34,100
22.6,623.9,1755,23.2,0,34.5,5.6,0.01,2,0.005,75,0.005,0,0,33,100
53,1351.7,4096.6,11.9,13.7,4.2,7.5,0,2,0.005,82,0.002,0,0,33,76.19047619
34.3,943.7,2998.5,6.8,0,30,6.2,0,7,0.005,67,0.003,0,0,30,88.0952381
113.8,469.1,2461.2,40.7,0,4.8,56.6,0.01,9,0.005,93,0.004,0.001,0,33,100
62.6,823.8,4416.8,20.6,0,4.2,1.8,0,8,0.005,83,0.006,0.001,0,33,88.0952381
68.4,901.4,4240.9,12.2,0,4.7,8.1,0,11,0.005,78.2,0.009,0.001,0,36,88.0952381
8.9,201.2,574.5,0,0,0.5,0.6,0,1,0.005,76,0.003,0,0,40,100
8.6,196.4,548.3,4.2,0,0.5,0.7,0.01,1,0.005,92,0.003,0,0,39,100
11,626.1,1752.9,7.8,0,1.4,1.9,0,3,0.005,78,0.002,0,0,40,100
11.5,669.3,1788.8,13.3,0,1.2,1.8,0,4,0.005,50,0.003,0.003,0,35,100
13.7,346.6,931.8,5.1,0,0.4,1.1,0.01,1,0.005,94,0.002,0.001,0,36,100
12.7,401,1350.4,12.7,0,0.3,1.2,0.01,5,0.005,81,0.002,0,0,36,100
14.4,617.6,1459.8,6.8,0,1.2,2,0,5,0.013,63,0.003,0,0,39,100
12.7,709.7,1972,6.5,0,1.4,1.4,0,4,0.005,66,0.003,0,0,41,100
23.3,446.5,1641.5,5.7,0,0.5,2,0.01,5,0.005,94,0.003,0.001,0,36,100
10.8,437.9,1397.5,5.8,0,0.3,1.6,0.01,1,0.005,84,0.001,0,0,37,100
18.2,672.1,2421.4,9.6,0,1.1,2,0,6,0.005,55,0.004,0,0,41,100
11,732.7,2160.6,11.4,0,1.1,3.5,0,7,0.005,51,0.004,0,0,40,100
12.2,384.2,3468.6,33.4,0,2.7,17.7,0,3,0.026,72,0.003,0,1,32,100
12.7,344.4,3003,38.1,0,3.8,51.7,0,3,0.018,75,0.004,0.001,0,31,100
16.3,451,3218.9,21.4,0,1.9,11.8,0.01,1,0.005,82,0.005,0.001,0,32,100
12.2,349,3346.3,26.4,0,3,28.5,0.01,2,0.005,76,0.004,0,1,31,100
66,404.5,3453,12.6,0,1.3,6,0.02,5,0.005,86,0.005,0.001,0,33,100
32.9,263.7,2796.9,37.7,0,2.8,51.6,0,1,0.005,59,0.003,0,0,37,100
13.9,542.9,1524.6,15.4,0,2.2,1,0.01,2,0.005,64,0.002,0,0,35,100
18,465.4,1320.9,9.1,0,1.6,0.8,0,1,0.005,91,0.003,0,0,33,100
13.7,767.7,2239,10.1,0,2.3,1.2,0,3,0.005,51,0.003,0,0,38,100
14.2,609.5,1884,5,0,1.7,1.3,0,4,0.005,68,0.004,0,0,37,100
45.4,161.9,744.3,3.7,0,1.1,1.2,0.01,3,0.005,72,0.004,0.001,0,39,100
15.1,1302.4,5072.7,14.9,0.8,2.7,4,0,4,0.005,93,0.002,0,0,33,88.0952381
19.2,913.6,4696.4,20.5,0.4,2.4,8.5,0.01,2,0.005,34,0.003,0,0,32,80.95238095
20.4,1459.6,4715.7,13.1,0,4,4.5,0,3,0.005,69,0.001,0,0,34,76.19047619
19.4,664.4,3613.9,30.9,0,3.1,15,0,3,0.005,85.4,0.002,0,1,33,88.0952381
11.8,228.5,1999.1,7.6,0,1,1.7,0.46,4,0.017,92,0.021,0.001,2,27,88.0952381
27.1,444.5,3276.4,19.4,0,8.9,7.2,0.42,8,0.019,87,0.021,0.001,2,25,88.0952381
29.8,453.1,2986.9,4.6,0,1.3,3.7,0.59,16,0.005,96.9,0.032,0.003,2,25,82.14285714
80.4,716.2,4369.8,26,0,14.5,20.6,0.73,17,0.05,95.4,0.026,0.003,2,21,63.0952381
28.8,639.1,2500.1,20.4,0,7.7,15.6,0,8,0.005,85,0.003,0,0,37,100
27.4,668.8,2564.4,19.4,0,7.3,14,0,9,0.005,98,0.003,0,0,36,100
11,1164.6,3189.7,18.9,0,1.3,4.4,0.01,4,0.005,84,0.003,0,0,39,88.0952381
19.9,1124.6,2828.3,15.6,0,1.2,3.8,0.01,4,0.005,85,0.001,0,0,41,88.0952381
10.8,1341.9,4581.4,22.1,0,1.7,4,0,4,0.011,82.7,0.002,0,0,39,88.0952381
9.4,1428.5,4467.9,22.8,0,2.3,4.3,0,2,0.012,58,0.001,0,0,40,88.0952381
13.4,685.5,2015.8,14.8,0,1.4,2.2,0.01,3,0.005,77,0.008,0.001,0,31,100
14.6,678.3,1961,11,0,1.2,2.5,0.01,4,0.005,81,0.049,0.001,0,33,100
17.8,1072.3,2698,10.5,0,1.2,2.9,0.01,6,0.005,85.3,0.015,0.002,0,32,88.0952381
19,1068.6,2590.7,14.9,0,0.9,2.5,0.01,6,0.005,82,0.003,0,0,34,88.0952381
27.6,756.5,2093.2,27,0,1.9,5.3,0.01,1,0.005,87,0.002,0.001,0,31,100
12,554.7,1542.5,13.1,0,1.1,2.1,0.01,5,0.005,79,0.003,0.001,0,30,100
17,740.2,2384.3,21.8,0,2.7,12.7,0,3,0.005,61,0.002,0,0,34,100
16.1,812.6,2277.7,18,0,1.8,5.5,0,9,0.005,76,0.002,0,0,30,100
14.2,222.3,616.4,6.4,0,0,0,0.01,2,0.005,66,0.001,0,0,37,100
18.7,207.9,553.3,8.8,0,0,0,0.01,1,0.005,83,0.001,0,0,34,100
16.8,534.4,1273.2,4.1,0,0.6,1.3,0,5,0.005,64,0.003,0,0,40,100
19.4,540.8,1188.6,0,0,0.8,1.2,0,5,0.005,55,0.003,0,0,41,100
10.3,233.6,2781.7,26.3,0,1.9,25.9,0.01,2,0.005,86,0.007,0,0,33,100
16.1,946.9,3161.9,19.5,0,0.7,3.5,0.01,3,0.005,86,0.008,0,0,40,88.0952381
19.7,319.8,3239.8,38.5,0,2.7,41.6,0,7,0.005,50,0.002,0,1,32,100
18.5,1374.9,4022,11.3,0,1.2,3.5,0,5,0.005,94.4,0.001,0,0,39,88.0952381
48,318.5,1330.6,5.1,0,1,0.7,0,3,0.005,85,0.021,0,0,37,100
39.4,313,1217.9,1.8,0,1.2,1.6,0.01,2,0.005,90,0.009,0.001,0,38,100
31.7,501.5,3231.6,7.2,0,0,2.4,0,6,0.005,59,0.003,0,0,35,100
39.1,289.3,1266.2,7,0,1.8,1.4,0,6,0.005,73,0.002,0,0,37,100
9.4,200.4,2904.9,0,0,1.4,2.1,0.13,2,0.042,93,0.028,0.001,3,20,79.76190476
9.4,215.4,3259.7,0,0,1.3,2.4,0.11,4,0.037,80,0.022,0.001,3,20,79.76190476
11.5,198.1,3208.8,0,0,0.9,1.2,0.13,2,0.095,64,0.021,0.002,3.5,20,79.76190476
11,174.4,3147.2,3.3,0.3,1.2,1.4,0.12,6,0.039,77,0.02,0.002,3,20,79.76190476
23,417.8,2228.8,56.5,0,6.4,19.1,0,4,0.005,85.2,0.003,0,0,31,100
17.8,368.2,892.1,11.6,0,1.7,1,0,1,0.005,42,0.002,0,0,33,92.85714286
26.2,510.1,1271.5,6.2,0,3.5,5.5,0,10,0.005,72,0.003,0,0,37,100
14.6,578.1,1476,8.3,0,4.3,2.4,0,1,0.005,67,0.003,0,0,36,100
12,483.2,1369,10.4,0,1.6,2.4,0.06,1,0.005,87,0.013,0,0,39,100
13.2,564.5,1479,8.7,0,1.1,2.4,0.002,1,0.005,86,0.003,0,0,39,100
19.2,896.6,2099.6,8.1,0,1.9,3.1,0,5,0.005,75,0.002,0,0,39,100
19,942.2,2425.3,16.3,0,1.7,3.9,0,3,0.005,53,0.002,0,0,40,100
10.8,258.7,432.1,2.1,0,0.3,0.5,0.04,3,0.005,74,0.002,0,0,42,100
10.3,256.3,408.9,4.9,0,0.3,0.8,0.01,2,0.005,78,0.002,0,0,41,100
9.8,576.5,1595.2,11.6,0,0.6,2.6,0,2,0.005,65,0.001,0,0,42,100
32.9,307.9,1998.7,3.77,0,0.6,2.4,0.04,6,0.005,79,0.009,0,0,32,100
21.8,281.8,1976.4,11.5,0,0.7,1.8,0.01,8,0.005,86,0.003,0,0,32,100
23,549.6,2618.3,9.1,0,0.7,4.2,0,3,0.005,77,0.001,0,0,36,100
19.7,524.5,2563.2,9.8,0,0.6,4.7,0,6,0.005,65,0.001,0,0,39,100
20.4,290.3,4781.4,5.8,0,1.9,3.4,0.14,1,0.018,86,0.018,0.001,2,20,75
25,327,6690.7,8.2,0,2.1,3.8,0.16,7,0.038,83,0.026,0.001,2,19,75
11,1197,3504.5,14.8,0,0.6,3.3,0.06,6,0.005,83,0.001,0,0,39,88.0952381
16.1,1225.8,4023.8,37.7,0,0.8,4.1,0,1,0.005,90,0.002,0,0,41,88.0952381
14.2,1553.3,3991.1,18.3,0,0.6,3.6,0,6,0.005,76,0.001,0,0,41,88.0952381
17,1620.6,4133.8,20.5,0,0.9,3.6,0,5,0.005,70,0.001,0,0,41,88.0952381
42.2,256.8,4134.2,2.6,0,4.8,23.3,0.09,7,0.04,54,0.029,0.003,1,21,100
23.3,327.1,2737.7,10,0,2.4,1.4,0.03,4,0.005,78,0.001,0,0,35,100
19,392.2,3535,28.3,0,3.6,29.8,0.01,8,0.005,69,0.001,0,0,39,100
21.6,541.3,3341.8,15,0,3,11.5,0,7,0.005,92.6,0.001,0,0,39,100
18.2,324,2574.5,14.2,0,2.7,1.3,0.03,5,0.005,94,0.001,0,0,35,100
28.6,541.3,7128,24.2,0,1.2,16.6,0.02,14,0.005,67,0.001,0,0,37,88.0952381
21.6,594.8,6635.4,14.6,0,1.4,9.4,0.03,16,0.005,84.5,0.001,0,0,37,88.0952381
23,391.6,5449.9,17,0,1,3.3,0.03,7,0.005,70,0.001,0,0,35,88.0952381
18.5,373.3,4861.1,12.4,0,0.9,3.2,0.04,8,0.005,51,0.031,0,0,32,88.0952381
24.7,246.9,1180.4,20.9,0,1.8,15,0,5,0.005,40,0.003,0,0,35,92.85714286
45.4,403.9,1479.6,4.9,0,1.2,2.4,0,3,0.01,37,0.005,0.001,0,32,92.85714286
36.7,244.7,1995.6,0,0,0.3,1.2,0.01,9,0.005,90,0.005,0.001,0,38,100
43.2,243.2,1944.7,0,0,0.2,1.4,0.01,5,0.005,76,0.003,0,0,38,100
59.3,713.6,5090,12.7,0,1,5.6,0,8,0.005,82.3,0.002,0,0,37,88.0952381
33.6,182.3,980.5,13,0.8,1.2,8.2,0,8,0.005,50,0.001,0,0,37,100
11.5,1218.8,5858.2,16.5,0.6,1.8,5.3,0.01,6,0.005,91,0.001,0,0,34,88.0952381
16.8,1064.6,6068.5,0,0,3.1,7.8,0,5,0.005,73,0.002,0,0,35,88.0952381
12.7,776.3,4866.3,24.5,0.5,2.8,7.6,0.01,3,0.005,87,0.002,0,0,34,88.0952381
17.8,562.5,4897.5,48.4,0,3.6,11.2,0,7,0.005,88.4,0.003,0,1,34,88.0952381
14.9,426.2,1871,18.9,0,2.5,12.3,0.01,5,0.005,72,0.003,0,0,31,100
13.2,593.6,2270,9.7,0,1.5,2.6,0.01,6,0.005,78,0.001,0,0,31,100
17,228.1,2029.7,45.9,0,3.6,65.5,0,3,0.005,93.5,0.002,0,0,30,100
22.3,828.8,3204,0,0,1.8,8.1,0,3,0.005,66,0.001,0,0,29,100
18,315.1,999.8,12.4,0,0.8,0.7,0.03,1,0.005,86,0.002,0.001,0,36,100
15.1,277.6,885.9,13.2,0,0.7,1.2,0.03,1,0.005,87,0.004,0.001,0,35,100
20.6,573.1,1438.2,9.3,0,1.5,1.7,0,4,0.005,78,0.003,0,0,38,100
15.8,540.8,1283.3,5.9,0,1.5,1.5,0,6,0.005,81,0.004,0,0,36,100
7.2,315.4,1073.7,6.2,0,0.6,0.6,0,1,0.005,97,0.002,0,0,33,100
8.4,345.6,1181,0.6,0,0.5,0.8,0.01,1,0.005,94,0.003,0.001,0,35,100
19.9,561.6,1869.4,7.7,0,1.1,1.6,0,6,0.005,71,0.003,0,0,41,100
11,602.3,1959.4,5.5,0,1.4,2.6,0,9,0.012,52,0.004,0,0,41,100
27.1,134.9,618.8,21.8,0,2.6,54,0.01,4,0.005,89,0.004,0,0,33,100
24.5,142.5,791.2,20.1,0,2.3,28,0.02,2,0.005,85.2,0.002,0,0,31,100
32.6,132.5,710.2,39,0,3,73.3,0,7,0.005,87.5,0.003,0,0,33,100
17.5,229.6,724.2,5.9,0,1.1,1.1,0,4,0.005,95,0.007,0,0,40,100
15.6,219.3,668.1,5.3,0,1.6,1.7,0,3,0.005,84,0.004,0,0,40,100
18.7,562,1529.3,16.7,0,4.9,10.1,0,6,0.005,98.7,0.002,0,0,37,100
24.2,538.8,1376.8,16.5,0,5.7,14.2,0,3,0.005,91.4,0.003,0,0,37,100
18.2,235.9,677,4.8,0,1,1.1,0.01,4,0.005,88,0.003,0,0,39,100
23,216.5,620,4,0,1,0.9,0.01,7,0.005,83,0.002,0,0,41,100
21.4,567.7,1455.8,21.3,0,7.4,23.3,0,5,0.005,68,0.003,0,0,36,100
16.3,515.7,1388.5,6.3,0,2.9,4.2,0,10,0.005,55,0.003,0,0,38,100
19,343.1,1189.9,4.4,0,2.7,4.2,0,4,0.005,86,0.004,0,0,42,100
15.1,342.2,1255.2,9.6,0,1.4,0.9,0.04,3,0.005,77,0.002,0,0,43,100
16.1,435.7,1368,1.8,0,2.5,1.5,0,6,0.005,59,0.003,0,0,38,100
7.7,154.3,572.5,3.6,0,0.9,1.5,0,3,0.005,82,0.013,0,0,41,100
10.8,179.8,620.7,4.9,0,1,1,0.01,1,0.005,87,0.009,0,0,41,100
12,373.8,1186.9,6,0,1.3,0,0,5,0.005,61,0.003,0,0,39,100
13.9,173.6,671.5,3.6,0,0.9,0.6,0.5,1,0.005,84,0.007,0,0,40,82.14285714
14.6,438.2,1097.8,7.7,0,1.9,1,0,7,0.014,76,0.003,0,0,35,100
17.3,484,1234.2,9.8,0,2.9,4.2,0,6,0.005,79,0.005,0.001,0,38,100
13.4,114.9,1917.1,2.6,27.7,5,2.3,0.39,9,0.047,71,0.05,0.003,3,19,50
9.1,100.1,1982.9,2.9,33.9,5.7,1.8,0.29,5,0.032,70,0.005,0.001,3,19,50
24.2,155.8,624,0,0,0.6,0.5,0.04,1,0.005,38,0.03,0.001,0,36,92.85714286
21.1,136.5,539.2,9,0,0.4,0.4,0.03,1,0.005,48,0.024,0,0,39,100
23.8,514.3,1487.7,10.1,0,2.1,8.9,0,8,0.005,68,0.002,0,0,42,100
26.6,468.8,1202.6,17.4,0,1.6,24.6,0,6,0.005,54,0.001,0,0,42,100
14.4,195.1,566.2,3.3,0,0.6,0.4,0.01,1,0.005,92,0.001,0,0,37,100
19.4,240.2,561.3,3.5,0,0.6,0.3,0,2,0.005,53,0.001,0,0,28,100
15.1,429.9,1335.6,0,0,0,0.9,0,2,0.015,79.7,0.001,0,0,41,100
25.7,588.8,1485.1,0,0,0.6,1,0.01,3,0.005,58,0.001,0,0,32,100
17.8,507,1453.7,3.2,0,0.3,0.7,0,1,0.005,83.4,0.001,0,0,30,100
13.4,500.4,1415.7,0,0,0.4,0.7,0.01,2,0.005,77.5,0.002,0,0,32,100
45.6,1025.3,5704.3,18.2,0,1.6,1.7,0.06,5,0.005,87,0.008,0.001,0,30,88.0952381
35.5,1129.7,6367.2,25.6,0,1.7,2.1,0.02,9,0.0055,87,0.017,0.001,0,30,88.0952381
13.4,487.9,3190.6,52.4,0,5.4,15.8,0.01,4,0.005,88,0.032,0.001,1,32,100
8.6,566.1,4503.9,33.4,0,2.6,6.3,0,3,0.005,64,0.006,0,1,32,88.0952381
18.5,437.6,3417.8,110.2,0,7.3,55.8,0,3,0.005,76,0.005,0.001,1,32,88.0952381
13.9,633.6,4928.9,37.8,0,4.2,8.2,0.01,3,0.03,61,0.003,0,1,33,88.0952381
22.3,463.2,3754.9,0,0,2,2.4,0.74,8,0.054,91,0.052,0.001,2,19,75
8.2,169.9,2295.5,0,0,0.7,1,0.35,3,0.005,88.4,0.023,0.002,2,30,88.0952381
36.5,197.3,529.8,1.7,0,1.3,1.8,0.01,8,0.005,85,0.006,0,0,39,100
32.4,269.5,837.9,3.2,0,1.4,1.5,0.01,2,0.005,87,0.004,0.001,0,38,100
25.2,717,2135.8,17.9,0,7.3,16.5,0,7,0.005,59,0.004,0,0,36,100
24,723.3,2490.4,26.3,0,7.2,33.2,0,7,0.005,80.9,0.005,0.001,0,36,100
105.1,280.8,1859.8,23.4,1.9,4.3,47.7,0.01,1,0.005,88,0.01,0.001,0,34,100
97,293.1,1931.9,24.4,0,3.7,53.4,0,6,0.005,88,0.01,0.001,0,34,100
95.3,289.8,1603.3,34.7,0,3.6,60,0,7,0.005,54,0.002,0,1,32,100
29,477.6,7072.2,6.2,0,3.1,3.2,0.86,2,0.015,91,0.031,0.002,2,25,70.23809524
22.6,1016.6,4703.6,16.1,0,1.7,2.9,0.01,2,0.005,81,0.005,0,0,35,88.0952381
20.6,1122.1,5217.2,15.9,0,2,3.3,0.02,5,0.005,55,0.005,0,0,37,88.0952381
19.9,1281.7,5017.1,16.8,0,1.7,3.1,0,8,0.005,93.7,0.001,0,0,36,88.0952381
20.9,1397.4,5065.9,15.4,0,1.4,3.1,0,5,0.005,91.2,0.001,0,0,34,88.0952381
17,1338.8,5018.5,15,0,1.3,3,0,5,0.005,82,0.001,0,0,37,88.0952381
30.2,591.9,6552.3,3.9,13.2,18.1,8.4,0.7,3,0.02,81,0.031,0.001,3,21,44.04761905
26.2,543.9,7386.8,2.2,2.4,3,4.5,0.71,1,0.041,88,0.036,0.001,3,21,55.95238095
21.8,356.2,5237,5.6,10.9,17.8,5.8,0.89,2,0.09,76,0.027,0.003,3,20,44.04761905
23,329.4,5427.3,0,0,2,2.8,0.8,2,0.13,94.9,0.035,0.004,3,19,55.95238095
10.3,189.6,1392,0.5,0,0,0,0,5,0.005,51,0.008,0.001,0,35,100
9.6,174.7,1041.1,0,0,0.7,0.4,0,5,0.005,63,0.008,0.001,0,34,100
9.4,148.9,1022.5,0,0,1.1,0.4,0,4,0.005,63,0.005,0.001,0,35,100
47.5,843.7,5115,55.8,0,23.8,17.8,0,16,0.034,54,0.064,0.006,2,22,80.95238095
9.4,577.7,1300.3,9.7,0,0.7,1.7,0.01,3,0.005,78,0.003,0,0,34,100
10.8,519.1,1157.7,7,0,1.5,2.1,0.05,4,0.005,60,0.002,0,0,34,100
22.8,1020.7,2707.8,9.4,0,1.3,2.6,0.01,6,0.005,53,0.002,0,0,29,100
16.1,941.7,1909.1,13.1,0,1.6,3.2,0.01,2,0.005,66,0.002,0,0,34,100
12.5,51.5,405.7,6.7,0,3.1,10.7,0,16,0.011,61,0.007,0.001,0,30,100
18,126,686.1,3.8,0,1.7,5.1,0,10,0.005,58,0.007,0.001,0,34,100
47,347.4,2768.5,13.3,0,0.9,10.1,0.01,6,0.005,73,0.004,0,0,31,100
23.5,323.3,1958.8,9.5,0,0.8,3.6,0.01,4,0.005,81,0.002,0,0,35,100
28.8,386.7,2952.1,13.3,0,1.2,10.8,0.01,6,0.005,63,0.003,0,0,31,100
25.4,461.1,2202.1,16.5,0,1.3,4,0,5,0.005,84.2,0.002,0,0,35,100
26.4,596.6,2447,11.7,0,1.5,2.2,0,4,0.01,47,0.003,0,0,33,100
29.5,560.6,1717.4,10.1,0,0.9,2,0,9,0.005,50,0.002,0,0,35,100
23.8,530.5,7213.4,0,2.7,5.2,4.1,0.84,6,0.046,81,0.033,0.001,0,18,63.0952381
7.2,288.1,615,6.8,0,0.7,1.5,0.01,1,0.005,69,0.003,0,0,33,100
9.6,344.4,816.4,5.7,0,0.6,1.1,0.01,4,0.005,50,0.001,0,0,32,100
8.4,354.2,908.3,5.2,0,0.6,1.4,0,1,0.005,51,0.003,0,0,41,100
11.3,723.7,1544.1,7.6,0,1.1,2,0.09,2,0.005,74,0.002,0,0,33,100
12.5,772,1989.1,9.1,0,0.8,1.3,0,7,0.005,79,0.001,0,0,31,100
17.5,784.4,2103.8,7.7,0,1.8,2.1,0,3,0.005,76,0.002,0,0,41,100
12.7,536.5,4795,31.6,0.6,2.8,9.4,0.01,4,0.005,80,0.001,0,0,34,88.0952381
13.2,337,3946.4,48.2,0.3,3.6,25.6,0,1,0.005,91,0.003,0,0,33,100
18.5,411.6,4678.1,53.4,0,3.3,12.7,0,6,0.01,74,0.004,0,1,34,88.0952381
18.5,228.2,3999.1,100.9,0,4.2,63.6,0,1,0.005,73,0.002,0,1,33,100
21.4,269.6,791.3,4.2,0,0.6,0.8,0,9,0.005,50,0.002,0,0,37,100
22.6,261,714.7,3.8,0,0.3,0.4,0,8,0.005,56,0.002,0,0,37,100
4.3,100.8,1784.3,3,0.6,1.3,2.8,0.14,2,0.032,82,0.032,0.003,2,21,86.9047619
3.1,101.9,1549.2,2.5,0,0.9,2.1,0.4,5,0.024,46,0.024,0.002,2,22,80.95238095
9.1,113.8,1739.3,9,0.7,0.7,0.9,0.23,7,0.054,82,0.037,0.004,2,21,86.9047619
7.7,131.6,1721.5,1.2,0,4,3.8,0.3,5,0.087,56,0.034,0.003,2,21,80.95238095
22.6,351.1,988.3,0,0,0.5,0.7,0,6,0.005,51,0.002,0,0,30,100
24,413.1,977.7,2,0,0.4,0.5,0,9,0.005,61,0.003,0,0,30,100
11,143.4,2782.2,31.3,20.4,49.5,13.8,0.2,6,0.016,76,0.024,0.001,2,21,63.0952381
7,64.8,1824,0,3.6,2.4,1.7,0.27,4,0.019,74,0.035,0.004,2,21,80.95238095
18.7,220.6,768.3,0,0,0.2,0.4,0,4,0.005,92,0.001,0,0,37,100
19.4,214.9,791.4,0,0,0.2,0.3,0,3,0.005,70.2,0.001,0,0,38,100
18.7,459.4,1182.9,4.3,0,0.7,1.6,0,2,0.005,68,0.003,0,0,40,100
11.8,462.2,1379.6,8.2,0,0.9,3.6,0,3,0.005,74,0.004,0,0,41,100
12.5,555.6,1478.6,6.8,0,0.9,2.3,0,17,0.005,87,0.002,0,0,41,100
16.1,964,2077.4,7,0,1.5,1.7,0.01,10,0.005,68,0.005,0.001,0,33,100
11.5,79.5,522.9,17.2,0,1.1,10.6,0,6,0.005,53,0.002,0,0,29,100
13.9,232.7,753.6,0,0,0.5,0.4,0,8,0.005,89.4,0.002,0,0,36,100
61.9,982.2,5887.7,38.4,0,15.6,8.9,0.57,16,0.198,73,0.113,0.002,3,14,55.95238095
44.2,778.1,5138.9,2.3,0,8.1,3.9,0.32,11,0.046,30,0.054,0.005,3,21,54.76190476
15.6,334.9,659.9,9.6,0,1.6,2,0.08,2,0.005,83,0.03,0.001,0,36,100
11.3,328.8,665.8,11.5,0,4.2,2,0.01,1,0.005,92,0.003,0,0,35,100
15.8,617.4,1357.3,14.2,0,2.2,3.3,0,2,0.005,68,0.001,0,0,31,100
5.5,579.5,1622.8,24,0,0.9,1.5,0.02,1,0.005,32,0.036,0.001,0,36,92.85714286
7.7,524.4,1419.2,16.1,0,1.2,3.7,0.04,5,0.005,81,0.003,0,0,27,100
15.4,790.7,1664.1,10.7,0,0.7,1.8,0,2,0.005,62,0.002,0,0,40,100
22.1,709.7,1623.4,11.8,0,1.5,3.6,0,7,0.005,82.5,0.002,0,0,30,100
65,647.4,2674.7,21.1,0,1.1,2,0.03,6,0.005,62,0.002,0,0,30,100
12,577.6,1462.5,14.9,0,1.2,2.1,0.01,5,0.005,92,0.008,0,0,27,100
14.4,862.1,2620.5,7.6,0,1,1.9,0,9,0.005,60,0.002,0,0,39,100
16.6,857.6,1707.3,11,0,1.3,2,0,3,0.005,53,0.002,0,0,31,100
38.4,500.1,2577.6,39.3,0,4.6,81,0,3,0.005,83,0.004,0,0,34,100
43.2,1285.9,5957.4,19.6,0.7,1.8,1.7,0,5,0.011,83,0.007,0.001,0,34,88.0952381
46.6,1174.1,8012.2,13.5,1.4,2,1.8,0.02,7,0.005,53,0.007,0.001,0,36,76.19047619
12,616.6,1547.8,11.9,0,1.3,2,0.01,3,0.005,80,0.01,0,0,37,100
15.8,1039.2,2016,12,0,1.2,2.4,0.01,7,0.005,89,0.005,0,0,37,100
13.7,638.6,1391.8,9.6,0,1.2,1.7,0.01,5,0.005,83,0.015,0,0,32,100
12,1398.9,3263.3,13.4,0,1.6,2.9,0.01,3,0.005,58,0.001,0,0,38,88.0952381
13.4,815.9,2252.3,10.1,0,1.9,2.9,0.01,6,0.005,86,0.002,0,1,31,100
14.9,480.7,1088.6,13.9,0,2,2.2,0.01,1,0.005,73,0.004,0,0,34,100
5.4,457.7,1080.6,12.8,0,2.1,2.8,0.01,1,0.005,80,0.003,0,0,32,100
19,743.4,2161.1,11.9,0,2.7,3,0,5,0.005,73,0.002,0,0,30,100
15.1,453.4,1812.6,27.9,0,3.3,7.8,0,3,0.005,62,0.003,0,1,32,100
30.5,312,3105.9,15,0,1.2,6.3,0.01,2,0.005,85,0.004,0.001,0,34,100
31.7,319,2273.6,14.5,0,1.2,5.3,0.01,5,0.005,86,0.19,0.001,0,35,100
15.4,345.9,5041,10.2,0,1.4,12.7,0.01,6,0.005,71,0.003,0,0,34,88.0952381
15.8,357.3,3616.6,28.2,0,1.4,10.4,0,2,0.005,65,0.003,0,0,34,100
22.1,401.5,2788,13.7,0,1.1,1.9,0.01,10,0.005,84,0.035,0,0,33,100
6,369.8,2566.3,4.7,0,0.9,1.8,0.01,3,0.005,61,0.03,0,0,29,100
18.2,769.3,4037.9,5.6,0,1.1,3.5,0,13,0.005,65,0.001,0,0,37,88.0952381
16.3,584.3,3092.8,0,0,1.5,3,0,9,0.005,67,0.003,0,0,37,100
25,262.7,1173.3,45.1,0,1.8,53.1,0,8,0.005,52,0.003,0,0,37,100
19.9,424.9,1223.2,33.3,0,2.1,25,0,9,0.005,84.9,0.003,0,0,36,100
19.9,231.2,3122.3,31,0,2.1,26.8,0.01,3,0.005,80,0.006,0,1,32,100
46.3,453.3,4045.8,31,0.5,2.9,10,0.01,4,0.005,71,0.009,0,1,33,100
24,235.9,2914.3,45.5,0,2.6,52.5,0.01,2,0.005,66,0.002,0,1,33,100
24.2,510.5,3694.3,46.2,0,3.7,10.5,0.01,3,0.005,72,0.002,0,1,33,88.0952381
4.1,562.2,5193.2,4.3,0,1.4,3.6,0.069,7,0.015,97,0.021,0.001,3,21,73.80952381
2.4,630.1,6368.9,5.6,0.3,2,4.8,0.93,5,0.024,94,0.032,0.001,3,21,55.95238095
14.2,410.7,5073.1,0,0,1.1,3,0.74,1,0.037,80,0.018,0.002,3,22,55.95238095
15.1,453.1,4472.3,0,0,1.1,2.9,0.94,1,0.033,57,0.024,0.001,3,22,67.85714286
28.8,371.4,1039.4,6.1,0,0.6,6.6,0,6,0.005,65,0.001,0,0,37,100
27.6,525.8,1459.1,0,0,0,0.7,0,4,0.005,99.5,0.001,0,0,38,100
31.4,385.6,1250.1,5.3,0,0.4,0.8,0,4,0.005,57,0.002,0,0,37,100
15.1,480.5,1522.8,11.3,0,1.5,2.4,0.01,1,0.005,78,0.006,0,0,32,100
15.8,468.2,1534.5,0,0,1.6,2.1,0.01,2,0.005,79,0.031,0,0,32,100
